SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
13085,-122.32669044,47.60920979,TERRY AVE BETWEEN MADISON ST AND SPRING ST,SW,3,First Hill
81493,-122.33858071,47.62263115,WESTLAKE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,5,South Lake Union
13098,-122.33418299,47.61671369,TERRY AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,5,Denny Triangle
78705,-122.33513202,47.62209926,HARRISON ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,N,8,South Lake Union
31058,-122.33591854,47.61540116,8TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,6,Denny Triangle
56354,-122.34166097,47.61964009,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,19,South Lake Union
77986,-122.3422055,47.62844527,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,E,11,South Lake Union
79885,-122.32652887,47.61240712,MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,7,First Hill
58226,-122.33220713,47.6172401,STEWART ST BETWEEN BOREN AVE AND MINOR AVE,SE,9,Denny Triangle
58833,-122.33857409,47.62145672,WESTLAKE AVE N BETWEEN THOMAS ST AND HARRISON ST,W,5,South Lake Union
94677,-122.33269229,47.62749792,FAIRVIEW NR AVE N BETWEEN ALOHA ST AND WARD ST,SE,19,South Lake Union
36137,-122.3381161,47.61585754,WESTLAKE AVE BETWEEN 7TH AVE AND 8TH AVE,W,7,Denny Triangle
55637,-122.33444547,47.62143551,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,W,16,South Lake Union
76410,-122.32695035,47.60809535,9TH AVE BETWEEN MARION ST AND MADISON ST,NE,3,First Hill
12957,-122.32520538,47.61267365,SUMMIT AVE BETWEEN UNIVERSITY ST AND E UNION ST,SW,6,First Hill
34510,-122.33288283,47.62251773,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,11,South Lake Union
76417,-122.32843867,47.60945231,9TH AVE BETWEEN SPRING ST AND SENECA ST,SW,5,First Hill
57202,-122.33246437,47.62554339,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,E,9,South Lake Union
76721,-122.33007554,47.6269241,ALOHA ST BETWEEN YALE AVE N AND EASTLAKE AVE E,N,7,South Lake Union
76413,-122.32780118,47.60875479,9TH AVE BETWEEN MADISON ST AND SPRING ST,SW,7,First Hill
81113,-122.33683011,47.61814223,TERRY AVE BETWEEN LENORA ST AND DENNY WAY,SW,2,Denny Triangle
11669,-122.32616272,47.60797179,MARION ST BETWEEN 9TH AVE AND TERRY AVE,NW,7,First Hill
35201,-122.33109516,47.62318987,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,N,7,South Lake Union
7998,-122.33800086,47.61430793,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,NE,3,Denny Triangle
10165,-122.32936627,47.6273401,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,South Lake Union
56350,-122.34299759,47.61964815,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,S,4,South Lake Union
78069,-122.32925328,47.61913534,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,W,16,South Lake Union
13790,-122.3303422,47.61923507,YALE AVE N BETWEEN STEWART ST AND JOHN ST,E,4,South Lake Union
76714,-122.34286858,47.62710533,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,8,South Lake Union
